Date,Ordi_pinso_esp_EURtona,Ordi_malta_esp_EURtona,BCN_Ordi_PE_62-64_EURtona,Mercolleida_OrdiP_E-64_EURtona 
2022-01-02 19:00:00-0500,229.1,,,
2022-01-09 19:00:00-0500,230.17,,,
2022-01-16 19:00:00-0500,229.95,,,
2022-01-23 19:00:00-0500,229.07,,,
2022-01-30 19:00:00-0500,227.98,,,
2022-02-06 19:00:00-0500,226.88,,,
2022-02-13 19:00:00-0500,226.44,,,
2022-02-20 19:00:00-0500,226.01,,,
2022-02-27 19:00:00-0500,232.81,,,
2022-03-06 19:00:00-0500,240.82,,,
2022-03-13 19:00:00-0500,240.16,,,
2022-03-20 19:00:00-0500,238.61,,,
2022-03-27 19:00:00-0500,238.74,,,
2022-04-03 19:00:00-0500,237.64,,,
2022-04-10 19:00:00-0500,236.94,,,
2022-04-17 19:00:00-0500,237.69,,,
2022-04-24 19:00:00-0500,237.23,,,
2022-05-01 19:00:00-0500,236.43,,,
2022-05-08 19:00:00-0500,236.19,,,
2022-05-15 19:00:00-0500,238.14,,,
2022-05-22 19:00:00-0500,235.26,,,
2022-05-29 19:00:00-0500,232.25,,,
2022-06-05 19:00:00-0500,230.42,,,
2022-06-12 19:00:00-0500,229.05,,,
2022-06-19 19:00:00-0500,229.22,,,
2022-06-26 19:00:00-0500,226.51,,,
2022-07-03 19:00:00-0500,222.3,,,
2022-07-10 19:00:00-0500,217.14,,,
2022-07-17 19:00:00-0500,221.37,,,
2022-07-24 19:00:00-0500,224.13,,,
2022-07-31 19:00:00-0500,222.3,,,
2022-08-07 19:00:00-0500,221.82,,,
2022-08-14 19:00:00-0500,224.75,,,
2022-08-21 19:00:00-0500,225.05,,,
2022-08-28 19:00:00-0500,225.28,,,
2022-09-04 19:00:00-0500,225.04,,,
2022-09-11 19:00:00-0500,226.19,,,
2022-09-18 19:00:00-0500,228.2,,,
2022-09-25 19:00:00-0500,230.7,,,
2022-10-02 19:00:00-0500,234.86,,,
2022-10-09 19:00:00-0500,238.35,,,
2022-10-16 19:00:00-0500,243.37,,,
2022-10-23 19:00:00-0500,248.14,,,
2022-10-30 19:00:00-0500,249.78,,,
2022-11-06 19:00:00-0500,248.59,,,
2022-11-13 19:00:00-0500,246.52,,,
2022-11-20 19:00:00-0500,243.22,,,
2022-11-27 19:00:00-0500,240.89,,,
2022-12-04 19:00:00-0500,239.53,,,
2022-12-11 19:00:00-0500,237.24,,,
2022-12-18 19:00:00-0500,236.55,,,
2022-12-25 19:00:00-0500,237.38,,,
2023-01-01 19:00:00-0500,315.16,,,323.0
2023-01-08 19:00:00-0500,313.25,,,316.0
2023-01-15 19:00:00-0500,309.02,,,310.0
2023-01-22 19:00:00-0500,301.62,,,306.0
2023-01-29 19:00:00-0500,299.35,,,302.0
2023-02-05 19:00:00-0500,299.01,,,304.0
2023-02-12 19:00:00-0500,300.57,,,308.0
2023-02-19 19:00:00-0500,300.45,,,300.0
2023-02-26 19:00:00-0500,294.77,,,295.0
2023-03-05 19:00:00-0500,286.29,,,285.0
2023-03-12 19:00:00-0500,277.18,,,281.0
2023-03-19 19:00:00-0500,260.91,,,262.0
2023-03-26 19:00:00-0500,266.35,,,265.0
2023-04-02 19:00:00-0500,266.97,,,263.0
2023-04-09 19:00:00-0500,269.01,,,266.0
2023-04-16 19:00:00-0500,272.73,,,275.0
2023-04-23 19:00:00-0500,270.93,,,280.0
2023-04-30 19:00:00-0500,266.41,,,280.0
2023-05-07 19:00:00-0500,265.21,,,275.0
2023-05-14 19:00:00-0500,262.05,,,266.0
2023-05-21 19:00:00-0500,255.48,,,250.0
2023-05-28 19:00:00-0500,252.11,,,240.0
2023-06-04 19:00:00-0500,250.25,,,240.0
2023-06-11 19:00:00-0500,248.06,,,240.0
2023-06-18 19:00:00-0500,251.62,,,242.0
2023-06-25 19:00:00-0500,247.93,,,235.0
2023-07-02 19:00:00-0500,242.51,,,208.6
2023-07-09 19:00:00-0500,239.72,,,210.6
2023-07-16 19:00:00-0500,243.24,,,211.8
2023-07-23 19:00:00-0500,255.96,,,210.4
2023-07-30 19:00:00-0500,248.95,,,208.4
2023-08-06 19:00:00-0500,245.36,,,206.8
2023-08-13 19:00:00-0500,242.67,,,206.8
2023-08-20 19:00:00-0500,240.35,,,212.4
2023-08-27 19:00:00-0500,238.65,,,220.0
2023-09-03 19:00:00-0500,237.92,,,227.4
2023-09-10 19:00:00-0500,238.2,,,226.4
2023-09-17 19:00:00-0500,240.08,,,230.6
2023-09-24 19:00:00-0500,241.53,,,231.0
2023-10-01 19:00:00-0500,240.33,,,229.0
2023-10-08 19:00:00-0500,239.0,,,228.4
2023-10-15 19:00:00-0500,241.52,,,228.6
2023-10-22 19:00:00-0500,237.03,,,228.4
2023-10-29 19:00:00-0500,235.37,,,227.0
2023-11-05 19:00:00-0500,233.44,,,226.4
2023-11-12 19:00:00-0500,231.82,,,227.8
2023-11-19 19:00:00-0500,228.91,,,226.0
2023-11-26 19:00:00-0500,228.99,,,222.6
2023-12-03 19:00:00-0500,229.19,,,217.8
2023-12-10 19:00:00-0500,231.7,,,216.0
2023-12-17 19:00:00-0500,231.3,,,215.8
2023-12-24 19:00:00-0500,231.5,,,216.0
2023-12-31 19:00:00-0500,230.99,230.99,234.0,234.0
2024-01-07 19:00:00-0500,229.41,228.65,233.0,230.0
2024-01-14 19:00:00-0500,225.79,225.48,230.0,227.0
2024-01-21 19:00:00-0500,221.56,222.66,228.0,223.0
2024-01-28 19:00:00-0500,217.35,217.85,226.0,216.0
2024-02-04 19:00:00-0500,214.86,214.79,219.0,212.0
2024-02-11 19:00:00-0500,212.17,212.74,216.0,209.0
2024-02-18 19:00:00-0500,208.61,210.85,210.0,205.0
2024-02-25 19:00:00-0500,205.36,206.09,207.0,203.0
2024-03-03 19:00:00-0500,201.64,204.05,203.0,200.0
2024-03-10 19:00:00-0500,201.01,202.85,208.0,200.0
2024-03-17 19:00:00-0500,203.9,204.81,210.0,209.0
2024-03-24 19:00:00-0500,207.39,208.04,218.0,212.0
2024-03-31 19:00:00-0500,208.05,208.65,218.0,212.0
2024-04-07 19:00:00-0500,205.26,208.52,214.0,210.0
2024-04-14 19:00:00-0500,204.49,207.14,214.0,210.0
2024-04-21 19:00:00-0500,208.28,206.25,218.0,212.0
2024-04-28 19:00:00-0500,208.67,207.48,216.0,213.0
2024-05-05 19:00:00-0500,212.63,208.08,220.0,218.0
2024-05-12 19:00:00-0500,217.1,212.67,235.0,220.0
2024-05-19 19:00:00-0500,219.62,214.41,232.0,226.0
2024-05-26 19:00:00-0500,219.29,215.05,228.0,225.0
2024-06-02 19:00:00-0500,212.15,214.74,228.0,215.0
2024-06-09 19:00:00-0500,202.37,215.82,218.0,211.0
2024-06-16 19:00:00-0500,196.45,208.38,212.0,205.0
2024-06-23 19:00:00-0500,193.67,198.32,210.0,202.0
2024-06-30 19:00:00-0500,191.74,196.38,228.0,202.0
2024-07-07 19:00:00-0500,191.54,195.4,225.0,202.0
2024-07-14 19:00:00-0500,191.48,195.56,222.0,202.0
2024-07-21 19:00:00-0500,194.42,196.08,230.0,206.0
2024-07-28 19:00:00-0500,195.06,196.72,229.0,206.0
2024-08-04 19:00:00-0500,194.81,197.98,228.0,206.0
2024-08-11 19:00:00-0500,193.7,195.48,227.0,206.0
2024-08-18 19:00:00-0500,192.49,197.78,226.0,205.0
2024-08-25 19:00:00-0500,191.53,194.55,221.0,206.0
2024-09-01 19:00:00-0500,194.13,195.12,221.0,210.0
2024-09-08 19:00:00-0500,197.43,197.38,228.0,212.0
2024-09-15 19:00:00-0500,200.31,214.42,233.0,212.0
2024-09-22 19:00:00-0500,202.1,214.69,232.0,214.0
2024-09-29 19:00:00-0500,208.55,216.49,236.0,219.0
2024-10-06 19:00:00-0500,211.23,228.64,240.0,225.0
2024-10-13 19:00:00-0500,211.28,229.91,238.0,223.0
2024-10-20 19:00:00-0500,210.27,232.71,240.0,222.0
2024-10-27 19:00:00-0500,208.91,232.71,240.0,222.0
2024-11-03 19:00:00-0500,208.04,232.81,240.0,220.0
2024-11-10 19:00:00-0500,206.25,231.83,240.0,221.0
2024-11-17 19:00:00-0500,206.9,232.35,242.0,226.0
2024-11-24 19:00:00-0500,207.8,227.44,248.0,227.0
2024-12-01 19:00:00-0500,209.16,231.83,249.0,227.0
2024-12-08 19:00:00-0500,210.08,232.35,248.0,230.0
2024-12-15 19:00:00-0500,211.81,231.83,252.0,232.0
2024-12-22 19:00:00-0500,214.04,232.35,254.0,234.0
2025-01-05 19:00:00-0500,217.44,234.56,239.0,238.0
2025-01-12 19:00:00-0500,221.83,235.69,242.0,240.0
2025-01-19 19:00:00-0500,224.74,237.44,248.0,242.0
2025-01-26 19:00:00-0500,,,248.0,242.0
2025-02-02 19:00:00-0500,,,245.0,241.0
